@id,identifier,superEvent,name,description,organizer,contributor,duration,startDate,endDate,subEvent,subjectOf,eventStatus,funder,funding,keywords,location,url
cruise_0001,NIEZTS1095,mets_0011,NIEZTS-1095,North Inlet Estuary Zooplankton Time Series cruise 1095,org_016,person_010,1 day,2025-04-10,2025-04-10,,,EventScheduled,org_001|org_016,monetarygrant_011|monetarygrant_013,,place_011,
cruise_0002,EDMED732,mets_0008,EDMED732,,,,,,,,,,,,,,
cruise_0003,EDMED207,mets_0009,EDMED207,,,,,,,,,,,,,,
cruise_0004,L-KBP-615,mets_0010,L-KBP-615,Boknis Eck monthly time series cruise 615,person_008,person_038,1 day,2025-04-15,2025-04-15,,,,,,,place_010,
cruise_0001,CC200004,mets_0017,,,,,1 day,2000-02-03 17:30:00,,,,,,,,,
cruise_0002,CC200007,mets_0017,,,,,1 day,2000-03-09 17:00:00,,,,,,,,,
cruise_0003,CC200009,mets_0017,,,,,1 day,2000-03-29 14:30:00,,,,,,,,,
cruise_0004,CC200011,mets_0017,,,,,1 day,2000-04-25 13:55:00,,,,,,,,,
cruise_0005,CC200013,mets_0017,,,,,1 day,2000-05-10 15:30:00,,,,,,,,,
cruise_0006,CC200015,mets_0017,,,,,1 day,2000-05-24 14:10:00,,,,,,,,,
cruise_0007,CC200017,mets_0017,,,,,1 day,2000-06-07 13:25:00,,,,,,,,,
cruise_0008,CC200019,mets_0017,,,,,1 day,2000-07-14 14:30:00,,,,,,,,,
cruise_0009,CC200022,mets_0017,,,,,1 day,2000-08-08 14:14:00,,,,,,,,,
cruise_0010,OB200009,mets_0017,,,,,1 day,2000-09-08 15:00:00,,,,,,,,,
cruise_0011,CC200026,mets_0017,,,,,1 day,2000-09-28 14:30:00,,,,,,,,,
cruise_0012,CC200029,mets_0017,,,,,1 day,2000-10-18 15:31:00,,,,,,,,,
cruise_0013,CC200032,mets_0017,,,,,1 day,2000-11-03 15:10:00,,,,,,,,,
cruise_0014,CC200034,mets_0017,,,,,1 day,2000-11-17 14:35:00,,,,,,,,,
cruise_0015,CC200037,mets_0017,,,,,1 day,2000-12-01 10:12:00,,,,,,,,,
cruise_0016,CC200038,mets_0017,,,,,1 day,2000-12-14 17:30:00,,,,,,,,,
