@id,identifier,name,url,amount,currency,alternateName
monetarygrant_001,,NIWA SSIF funding,https://www.mbie.govt.nz/science-and-technology/science-and-innovation/funding-information-and-opportunities/investment-funds/strategic-science-investment-fund/ssif-funded-programmes/crown-research-institute-platforms/national-institute-of-water-and-atmospheric-research,,,
monetarygrant_002,,PRESCIENT,https://www.bas.ac.uk/project/prescient/,,,
monetarygrant_003,,CCE-IV,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2224726&HistoricalAwards=false,,,
monetarygrant_004,,NERC NC,https://www.ukri.org/councils/nerc/guidance-for-applicants/types-of-funding-we-offer/national-capability-funding/,,GBP,NE/R015953/1
monetarygrant_005,,NES I,https://www.nsf.gov/geo/oce,,,1655686
monetarygrant_006,,NES II,https://www.nsf.gov/geo/oce,,,2322676
monetarygrant_007,,ATLANTIS,https://projects.noc.ac.uk/atlantis/,,GBP,
monetarygrant_008,,BATS,https://www.nsf.gov/geo/oce,"$9,245,708",USD,2241455
monetarygrant_009,,HOT,https://www.bco-dmo.org/award/931444,"$9,984,378",USD,2241005
monetarygrant_010,,PLOCAN,https://plocan.eu/en,,EUR,
monetarygrant_011,,"Ecological Patterns and Processes in the North Inlet Estuary, South Carolina I",https://www.nsf.gov/bio/deb,"1,485,129",USD,DEB 8012165|J22LNTMEDP73
monetarygrant_012,https://oceanexpert.org/institution/6824,INIDEP,https://www.argentina.gob.ar/inidep,,,
monetarygrant_013,,"Ecological Patterns and Processes in the North Inlet Estuary, South Carolina II",https://www.nsf.gov/bio/deb,"2,389,551",USD,DEB 8514326|J22LNTMEDP73
monetarygrant_014,,Packard Foundation,https://www.packard.org/,"2,000,000",USD,org_022
monetarygrant_015,,NF-POGO NANO,https://nf-pogo-alumni.org/,"26,058.00",EUR,
monetarygrant_016,,ANIMATE & BICEP,,,,
monetarygrant_017,,MerSEA,,,,
monetarygrant_018,,EuroSITES,,,,
monetarygrant_019,,,,,,
